POI_ID;ADDRESS;"﻿""DESCRIPTION""";NAME;GeoJSON;geo_point_2d
368;53 FOURTH AVE;Baseball Field;KIWANIS PARK BASEBALL FIELD;"{""type"": ""Point"", ""coordinates"": [-76.50018853675914, 44.24645533322952]}";44.2464553332,-76.5001885368
372;1180 WOODBINE RD;Baseball Field;WOODBINE PARK BASEBALL FIELD 1;"{""type"": ""Point"", ""coordinates"": [-76.60440550613069, 44.258900005363756]}";44.2589000054,-76.6044055061
62;33 BAGOT ST;Monument;CITY PARK FOUNTAN MEMORIAL;"{""type"": ""Point"", ""coordinates"": [-76.48834240729637, 44.22657639459496]}";44.2265763946,-76.4883424073
64;53 YONGE ST;Monument;TETRAHEDRON OLYMPIC MONUMENT;"{""type"": ""Point"", ""coordinates"": [-76.51610825437487, 44.217594224583486]}";44.2175942246,-76.5161082544
380;1066 HUDSON DR;Baseball Field;BAYRIDGE PUBLIC SCHOOL BASEBALL FIELD 2;"{""type"": ""Point"", ""coordinates"": [-76.592638432107, 44.248167868081126]}";44.2481678681,-76.5926384321
385;85 FIRST AVE;Baseball Field;FIRST AVENUE PUBLIC SCHOOL BASEBALL FIELD;"{""type"": ""Point"", ""coordinates"": [-76.50176110771591, 44.24396540539127]}";44.2439654054,-76.5017611077
653;;Village;HARLEM;"{""type"": ""Point"", ""coordinates"": [-76.1250147434819, 44.67603244242339]}";44.6760324424,-76.1250147435
658;;Village;ROBERTSVILLE;"{""type"": ""Point"", ""coordinates"": [-76.67698550482642, 44.89913124094792]}";44.8991312409,-76.6769855048
659;;Village;VIOLET;"{""type"": ""Point"", ""coordinates"": [-76.81045919754573, 44.26246451023239]}";44.2624645102,-76.8104591975
661;;Village;IVY LEA;"{""type"": ""Point"", ""coordinates"": [-76.00601210254791, 44.365030720548326]}";44.3650307205,-76.0060121025
666;;Village;FERMOY;"{""type"": ""Point"", ""coordinates"": [-76.51410643585612, 44.64175430566016]}";44.6417543057,-76.5141064359
668;;Village;LONG LAKE;"{""type"": ""Point"", ""coordinates"": [-76.76389941752133, 44.69283706285816]}";44.6928370629,-76.7638994175
669;;Village;UNION HALL;"{""type"": ""Point"", ""coordinates"": [-76.29201439679521, 45.16103166786793]}";45.1610316679,-76.2920143968
678;;Village;MOSCOW;"{""type"": ""Point"", ""coordinates"": [-76.80782724129524, 44.426422144740314]}";44.4264221447,-76.8078272413
685;;Village;CLOYNE;"{""type"": ""Point"", ""coordinates"": [-77.18384428660501, 44.821239400164494]}";44.8212394002,-77.1838442866
694;;Village;PERTH ROAD;"{""type"": ""Point"", ""coordinates"": [-76.48661341745931, 44.464438148860665]}";44.4644381489,-76.4866134175
698;;Village;KIRK COVE;"{""type"": ""Point"", ""coordinates"": [-76.97191579780345, 44.8059321995289]}";44.8059321995,-76.9719157978
702;;Village;NEW DUBLIN;"{""type"": ""Point"", ""coordinates"": [-75.80201437793873, 44.66802952664397]}";44.6680295266,-75.8020143779
707;;Village;BEDFORD;"{""type"": ""Point"", ""coordinates"": [-76.56605121115308, 44.62436180542518]}";44.6243618054,-76.5660512112
711;;Village;MAYNARD;"{""type"": ""Point"", ""coordinates"": [-75.58101658428124, 44.721032498838106]}";44.7210324988,-75.5810165843
712;;Village;WILTON;"{""type"": ""Point"", ""coordinates"": [-76.71822098722734, 44.328990306282655]}";44.3289903063,-76.7182209872
714;;Village;NORTHBROOK;"{""type"": ""Point"", ""coordinates"": [-77.15767765515446, 44.73413576740875]}";44.7341357674,-77.1576776552
719;;Village;KEPLER;"{""type"": ""Point"", ""coordinates"": [-76.58451381799321, 44.346118956719536]}";44.3461189567,-76.584513818
721;;Village;LYONS LANDING;"{""type"": ""Point"", ""coordinates"": [-76.48314652086152, 44.35174540382411]}";44.3517454038,-76.4831465209
724;;Village;HARTINGTON;"{""type"": ""Point"", ""coordinates"": [-76.66471001272004, 44.43994094818676]}";44.4399409482,-76.6647100127
737;2 HOWE ISLAND FERRY RD;Ferry Terminal;HOWE ISLAND FERRY TERMINAL;"{""type"": ""Point"", ""coordinates"": [-76.32721488653068, 44.27750864629122]}";44.2775086463,-76.3272148865
1041;1879 MACALPINE RD;Park;MACALPINE PARK;"{""type"": ""Point"", ""coordinates"": [-76.24935830355716, 44.314296559489286]}";44.3142965595,-76.2493583036
